X,Y,T,LAT,LNG,T
107492.875409873,1126344.83552092,90356.2,59.134215214,9.630876617,39.39397049
107492.873745869,1126344.83741142,90356.4,59.134215231,9.630876588,39.394752502
107492.875748139,1126344.83819513,90356.6,59.134215238,9.630876623,39.388614655
107492.874016619,1126344.84532119,90356.8,59.134215302,9.630876593,39.396255493
107492.87344192,1126344.84643404,90357,59.134215312,9.630876583,39.392463684
107492.874757392,1126344.847105,90357.2,59.134215318,9.630876606,39.393409729
107492.872861762,1126344.85033182,90357.4,59.134215347,9.630876573,39.395587921
107492.867364317,1126344.85098943,90357.6,59.134215353,9.630876477,39.392276764
107492.865243613,1126344.85221065,90357.8,59.134215364,9.63087644,39.392765045
107492.863874821,1126344.84953442,90358,59.13421534,9.630876416,39.39093399
107492.864278202,1126344.84819843,90358.2,59.134215328,9.630876423,39.386016846
107492.864505242,1126344.84920146,90358.4,59.134215337,9.630876427,39.388111115
107492.859454232,1126344.85576402,90358.6,59.134215396,9.630876339,39.393306732
107492.860258373,1126344.85442883,90358.8,59.134215384,9.630876353,39.391033173
107492.857220991,1126344.85598244,90359,59.134215398,9.6308763,39.394729614
107492.856366588,1126344.85375281,90359.2,59.134215378,9.630876285,39.394493103
107492.854537165,1126344.85241245,90359.4,59.134215366,9.630876253,39.394645691
107492.857291784,1126344.84907592,90359.6,59.134215336,9.630876301,39.393455505
107492.857003125,1126344.85030073,90359.8,59.134215347,9.630876296,39.392017365
107492.858950109,1126344.85008175,90400,59.134215345,9.63087633,39.388969421
107492.858316194,1126344.85219706,90400.2,59.134215364,9.630876319,39.392871857
107492.859518473,1126344.85219942,90400.4,59.134215364,9.63087634,39.393070221
107492.852345012,1126344.86087438,90400.6,59.134215442,9.630876215,39.387302399
107492.851488643,1126344.85964733,90400.8,59.134215431,9.6308762,39.390552521
107492.85177075,1126344.86176444,90401,59.13421545,9.630876205,39.388977051
107492.853146968,1126344.86065316,90401.2,59.13421544,9.630876229,39.38842392
107492.853088843,1126344.86109863,90401.4,59.134215444,9.630876228,39.387191772
107492.853839882,1126344.85764678,90401.6,59.134215413,9.630876241,39.385627747
107492.853207059,1126344.85920511,90401.8,59.134215427,9.63087623,39.387470245
107492.853495937,1126344.8578689,90402,59.134215415,9.630876235,39.389862061
107492.850977749,1126344.85741837,90402.2,59.134215411,9.630876191,39.388996124
107492.850747215,1126344.8581977,90402.4,59.134215418,9.630876187,39.390586853
107492.850061072,1126344.85775077,90402.6,59.134215414,9.630876175,39.385475159
107492.85166149,1126344.85909068,90402.8,59.134215426,9.630876203,39.3865242
107492.85108701,1126344.86009213,90403,59.134215435,9.630876193,39.385383606
107492.851942941,1126344.86154198,90403.2,59.134215448,9.630876208,39.385555267
107492.852743587,1126344.86198914,90403.4,59.134215452,9.630876222,39.388202667
107492.859121645,1126344.85019348,90403.6,59.134215346,9.630876333,39.391647339
107492.855517428,1126344.84884964,90403.8,59.134215334,9.63087627,39.392673492
107492.853402839,1126344.84695174,90404,59.134215317,9.630876233,39.390899658
107492.848652502,1126344.84616264,90404.2,59.13421531,9.63087615,39.391288757
107492.845731807,1126344.8466025,90404.4,59.134215314,9.630876099,39.389308929
107492.8453376,1126344.8432598,90404.6,59.134215284,9.630876092,39.393650055
107492.848259824,1126344.84204015,90404.8,59.134215273,9.630876143,39.396999359
107492.853810588,1126344.84338781,90405,59.134215285,9.63087624,39.39598465
107492.855006534,1126344.84662069,90405.2,59.134215314,9.630876261,39.396224976
107492.852888232,1126344.84661653,90405.4,59.134215314,9.630876224,39.392658234
107492.855180035,1126344.84572985,90405.6,59.134215306,9.630876264,39.402290344
107492.857470309,1126344.84562294,90405.8,59.134215305,9.630876304,39.39988327
107492.855867707,1126344.845397,90406,59.134215303,9.630876276,39.401584625
107492.852097415,1126344.84115649,90406.2,59.134215265,9.63087621,39.401203156
107492.848836051,1126344.84014752,90406.4,59.134215256,9.630876153,39.399898529
107492.850100824,1126344.83747645,90406.6,59.134215232,9.630876175,39.403144836
107492.849639099,1126344.83936931,90406.8,59.134215249,9.630876167,39.403408051
107492.849977366,1126344.84204352,90407,59.134215273,9.630876173,39.402469635
107492.85295422,1126344.84216075,90407.2,59.134215274,9.630876225,39.405208588
107492.854950156,1126344.84617499,90407.4,59.13421531,9.63087626,39.406021118
107492.856369865,1126344.85208185,90407.6,59.134215363,9.630876285,39.404953003
107492.859289686,1126344.85208758,90407.8,59.134215363,9.630876336,39.403747559
107492.862096533,1126344.85131329,90408,59.134215356,9.630876385,39.404388428
107492.860495897,1126344.85008478,90408.2,59.134215345,9.630876357,39.403366089
107492.860271478,1126344.84774499,90408.4,59.134215324,9.630876353,39.402107239
107492.859179333,1126344.8499708,90408.6,59.134215344,9.630876334,39.392539978
107492.857119812,1126344.84918698,90408.8,59.134215337,9.630876298,39.391700745
107492.856609791,1126344.84651243,90409,59.134215313,9.630876289,39.396190643
107492.856152872,1126344.84595455,90409.2,59.134215308,9.630876281,39.39692688
107492.854897928,1126344.84361274,90409.4,59.134215287,9.630876259,39.399044037
107492.859557351,1126344.8323707,90409.6,59.134215186,9.63087634,39.403961182
107492.859960732,1126344.83103472,90409.8,59.134215174,9.630876347,39.402191162
107492.859791162,1126344.82992041,90410,59.134215164,9.630876344,39.399635315
107492.859448091,1126344.82969694,90410.2,59.134215162,9.630876338,39.398452759
107492.861338042,1126344.82936645,90410.4,59.134215159,9.630876371,39.40014267
107492.865462764,1126344.82803777,90410.6,59.134215147,9.630876443,39.407363892
107492.866149562,1126344.82815051,90410.8,59.134215148,9.630876455,39.407287598
107492.865691769,1126344.82803822,90411,59.134215147,9.630876447,39.406986237
107492.86534433,1126344.83004269,90411.2,59.134215165,9.630876441,39.406784058
107492.867061871,1126344.83004606,90411.4,59.134215165,9.630876471,39.406097412
107492.865510186,1126344.83305076,90411.6,59.134215192,9.630876444,39.403118134
107492.868263277,1126344.83049401,90411.8,59.134215169,9.630876492,39.403793335
107492.86459613,1126344.83204639,90412,59.134215183,9.630876428,39.402008057
107492.863453504,1126344.83081877,90412.2,59.134215172,9.630876408,39.399738312
107492.864373458,1126344.82881542,90412.4,59.134215154,9.630876424,39.400791168
107492.863172271,1126344.82825607,90412.6,59.134215149,9.630876403,39.399726868
107492.865518049,1126344.82904045,90412.8,59.134215156,9.630876444,39.407806396
107492.866094932,1126344.82681363,90413,59.134215136,9.630876454,39.401332855
107492.867066677,1126344.82759532,90413.2,59.134215143,9.630876471,39.401351929
107492.866948679,1126344.82937745,90413.4,59.134215159,9.630876469,39.403617859
107492.86958552,1126344.82771166,90413.6,59.134215144,9.630876515,39.409420013
107492.865972129,1126344.8310465,90413.8,59.134215174,9.630876452,39.40801239
107492.8674587,1126344.832052,90414,59.134215183,9.630876478,39.409049988
107492.867230131,1126344.83182876,90414.2,59.134215181,9.630876474,39.408164978
107492.869632505,1126344.83294744,90414.4,59.134215191,9.630876516,39.405555725
107492.869170563,1126344.8349517,90414.6,59.134215209,9.630876508,39.39912796
107492.872657438,1126344.83774348,90414.8,59.134215234,9.630876569,39.401306152
107492.875170383,1126344.84086754,90415,59.134215262,9.630876613,39.401786804
107492.875913778,1126344.84131459,90415.2,59.134215266,9.630876626,39.40580368
107492.87368556,1126344.83897087,90415.4,59.134215245,9.630876587,39.404582977
107492.874332799,1126344.83006032,90415.6,59.134215165,9.630876598,39.400360107
107492.875769326,1126344.82738959,90415.8,59.134215141,9.630876623,39.400123596
107492.874680239,1126344.82805584,90416,59.134215147,9.630876604,39.399284363
107492.875311533,1126344.82727729,90416.2,59.13421514,9.630876615,39.400405884
107492.872846665,1126344.82883203,90416.4,59.134215154,9.630876572,39.399219513
107492.872550142,1126344.83406714,90416.6,59.134215201,9.630876567,39.406154633
107492.870309912,1126344.83785027,90416.8,59.134215235,9.630876528,39.406959534
107492.870136629,1126344.83862972,90417,59.134215242,9.630876525,39.409141541
107492.867047019,1126344.83762108,90417.2,59.134215233,9.630876471,39.406917572
107492.866931206,1126344.83828924,90417.4,59.134215239,9.630876469,39.407939911
107492.871919067,1126344.83473429,90417.6,59.134215207,9.630876556,39.404148102
107492.871742289,1126344.83729609,90417.8,59.13421523,9.630876553,39.401306152
107492.873000072,1126344.83818974,90418,59.134215238,9.630876575,39.405860901
107492.873114793,1126344.83807857,90418.2,59.134215237,9.630876577,39.405387878
107492.873854693,1126344.84030797,90418.4,59.134215257,9.63087659,39.408210754
107492.872880546,1126344.84075165,90418.6,59.134215261,9.630876573,39.409515381
107492.868752985,1126344.8435285,90418.8,59.134215286,9.630876501,39.408180237
107492.869674686,1126344.84063397,90419,59.13421526,9.630876517,39.408519745
107492.867559224,1126344.83918165,90419.2,59.134215247,9.63087648,39.406074524
107492.867963041,1126344.83762288,90419.4,59.134215233,9.630876487,39.403388977
107492.864868626,1126344.83906498,90419.6,59.134215246,9.630876433,39.401576996
107492.86464246,1126344.83761637,90419.8,59.134215233,9.630876429,39.399974823
107492.862522193,1126344.83861479,90420,59.134215242,9.630876392,39.400146484
107492.862290129,1126344.8401739,90420.2,59.134215256,9.630876388,39.400337219
107492.86434288,1126344.84441104,90420.4,59.134215294,9.630876424,39.393569946
107492.861173521,1126344.85487621,90420.6,59.134215388,9.630876369,39.393779755
107492.856537906,1126344.85397594,90420.8,59.13421538,9.630876288,39.398147583
107492.849671233,1126344.85218011,90421,59.134215364,9.630876168,39.39396286
107492.85023916,1126344.85452058,90421.2,59.134215385,9.630876178,39.392612457
107492.850691492,1126344.85741781,90421.4,59.134215411,9.630876186,39.398975372
107492.865123649,1126344.85499536,90421.6,59.134215389,9.630876438,39.404212952
107492.865978926,1126344.8567794,90421.8,59.134215405,9.630876453,39.405132294
107492.869703106,1126344.85533853,90422,59.134215392,9.630876518,39.40580368
107492.869413791,1126344.85689753,90422.2,59.134215406,9.630876513,39.402542114
