FFID	Line	Point	Gps time(us)	UTC Date	UTC Time	Time Source	Latitude	Longitude	Comment
264	1.0	264.0	1333796095992364	2022-04-12	10:54:37.992364	GPS	590808.376	0093754.516	
265	1.0	265.0	1333796100364416	2022-04-12	10:54:42.364416	GPS	590808.412	0093754.444	
266	1.0	266.0	1333796106037087	2022-04-12	10:54:48.037087	GPS	590808.448	0093754.336	
267	1.0	267.0	1333796110730493	2022-04-12	10:54:52.730493	GPS	590808.484	0093754.264	
268	1.0	268.0	1333796114874166	2022-04-12	10:54:56.874166	GPS	590808.520	0093754.156	
269	1.0	269.0	1333796119727049	2022-04-12	10:55:01.727049	GPS	590808.556	0093754.084	
270	1.0	270.0	1333796124043946	2022-04-12	10:55:06.043946	GPS	590808.592	0093753.976	
271	1.0	271.0	1333796128730122	2022-04-12	10:55:10.730122	GPS	590808.664	0093753.832	
272	1.0	272.0	1333796133073861	2022-04-12	10:55:15.073861	GPS	590808.700	0093753.724	
273	1.0	273.0	1333796137407025	2022-04-12	10:55:19.407025	GPS	590808.700	0093753.724	
274	1.0	274.0	1333796141051514	2022-04-12	10:55:23.051514	GPS	590808.772	0093753.652	
275	1.0	275.0	1333796145096931	2022-04-12	10:55:27.096931	GPS	590808.844	0093753.436	
276	1.0	276.0	1333796149488221	2022-04-12	10:55:31.488221	GPS	590808.916	0093753.292	
277	1.0	277.0	1333796153885851	2022-04-12	10:55:35.885851	GPS	590808.988	0093753.148	
278	1.0	278.0	1333796158081873	2022-04-12	10:55:40.081873	GPS	590809.060	0093752.968	
279	1.0	279.0	1333796167000336	2022-04-12	10:55:49.000336	GPS	590809.132	0093752.824	
280	1.0	280.0	1333796173645842	2022-04-12	10:55:55.645842	GPS	590809.204	0093752.680	
281	1.0	281.0	1333796178686093	2022-04-12	10:56:00.686093	GPS	590809.276	0093752.500	
282	1.0	282.0	1333796226784126	2022-04-12	10:56:48.784126	GPS	590809.996	0093751.888	
